Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,gmc 2014 yukon parts,None,GM makes,GMC keywords,1,1,100.00%,0.33,0.33,2.0,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
exact,pontiac parts,Added,GM makes,Pontiac keywords,18,334,5.39%,0.20,3.51,3.2,0,0.00,0.00%,0,0.0,0,0,[pontiac parts]
broad (session-based),parts,None,GM makes,GMC keywords,0,2,0.00%,0.00,0.00,3.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,s10 interior parts,None,GM makes,Chevy keywords,1,1,100.00%,0.17,0.17,4.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
phrase,new gmc parts,None,GM makes,GMC keywords,2,1,200.00%,0.39,0.78,6.0,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,2008 silverado remote keyless entry module,None,GM makes,Chevy keywords,1,2,50.00%,0.23,0.23,1.5,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,pontiac dealers parts,None,GM makes,Pontiac keywords,1,1,100.00%,0.19,0.19,3.0,0,0.00,0.00%,0,0.0,0,0,+pontiac +parts
broad,gm 15277513,None,GM makes,GM keywords,1,2,50.00%,0.25,0.25,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,cruise control retainer clip for a chevy s10,None,GM makes,Chevy keywords,1,1,100.00%,0.03,0.03,3.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,1999 saturn sl1 taillight,None,Saturn,previous keywords,1,17,5.88%,0.26,0.26,1.4,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,pontiac vibe interior panel,None,GM makes,Pontiac keywords,1,4,25.00%,0.39,0.39,1.8,0,0.00,0.00%,0,0.0,0,0,pontiac vibe parts
broad,car parts for 2009 saturn ion,None,Saturn,previous keywords,1,1,100.00%,0.18,0.18,2.0,0,0.00,0.00%,0,0.0,0,0,saturn car parts
broad,94 suburban,None,GM makes,Chevy keywords,0,2,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,2011 gmc acadia throttle body,None,GM makes,GMC keywords,0,2,0.00%,0.00,0.00,8.0,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
broad,1997 cavalier parts,None,GM makes,Chevy keywords,1,1,100.00%,0.17,0.17,4.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
